STA_SEQ,Station_Name,SAMPLE_YR,TYPE,SAMPLE_VALUE,VALUE_UOM
14850,Bladens River (Bladdens River),2002,FISH,45,FishPer100M
15426,Bladens River (Bladdens River),1991,FISH,85,FishPer100M
14247,Hollenbeck River,2014,TEMP,18.20808197,DegreeC
14813,Blackberry River,2011,FISH,13.5,FishPer100M
14813,Blackberry River,2016,FISH,40.74074074,FishPer100M
14813,Blackberry River,1992,FISH,16.66666667,FishPer100M
16491,BEAR SWAMP OUTFLOW,1992,FISH,16.55172414,FishPer100M
16482,BALL BROOK,1992,FISH,11,FishPer100M
17185,WEST BRANCH SHEPAUG RIVER,1992,FISH,125.8064516,FishPer100M
16922,NORTH BROOK,1992,FISH,22,FishPer100M
16922,NORTH BROOK,2009,FISH,100,FishPer100M
16922,NORTH BROOK,2011,FISH,15.55555556,FishPer100M
16972,PITCH BROOK,2015,FISH,27,FishPer100M
16972,PITCH BROOK,1991,FISH,60,FishPer100M
14845,Bull Mountain Brook,1992,FISH,36,FishPer100M
15024,Wood Creek,2003,FISH,31.33333333,FishPer100M
15024,Wood Creek,2011,FISH,22.65625,FishPer100M
15518,"Shepaug River, tributary to",2004,FISH,96,FishPer100M
16083,Halfway River,2014,TEMP,17.82273234,DegreeC
16083,Halfway River,2009,TEMP,17.80200181,DegreeC
14133,Blackberry River,2011,FISH,17.82178218,FishPer100M
17172,WANGUM LAKE BROOK,1992,FISH,18.42105263,FishPer100M
14800,Steele Brook,2014,TEMP,18.27941667,DegreeC
16726,HART BROOK,2016,FISH,30,FishPer100M
14880,Sages Ravine Brook,2011,FISH,36,FishPer100M
14880,Sages Ravine Brook,2014,TEMP,14.71784783,DegreeC
14880,Sages Ravine Brook,2015,TEMP,15.31091398,DegreeC
14880,Sages Ravine Brook,2012,FISH,103.3898305,FishPer100M
14880,Sages Ravine Brook,2002,FISH,130,FishPer100M
14880,Sages Ravine Brook,2017,TEMP,15.48724321,DegreeC
14880,Sages Ravine Brook,2011,TEMP,15.49858026,DegreeC
14880,Sages Ravine Brook,2018,TEMP,16.30016078,DegreeC
14880,Sages Ravine Brook,2016,TEMP,16.4463008,DegreeC
14880,Sages Ravine Brook,2016,FISH,103.3898305,FishPer100M
15505,Sages Ravine Brook,1992,FISH,110,FishPer100M
15505,Sages Ravine Brook,2004,FISH,307.9545455,FishPer100M
15505,Sages Ravine Brook,2010,FISH,126,FishPer100M
15505,Sages Ravine Brook,2012,FISH,201.0204082,FishPer100M
15505,Sages Ravine Brook,2013,FISH,52.7027027,FishPer100M
15505,Sages Ravine Brook,2016,FISH,189.3333333,FishPer100M
15505,Sages Ravine Brook,2010,TEMP,15.49028695,DegreeC
16979,POND MOUNTAIN BROOK,1992,FISH,28.18181818,FishPer100M
17179,WEST ASPETUCK RIVER,1992,FISH,18,FishPer100M
16862,MOOSEHORN BROOK,1991,FISH,44,FishPer100M
16862,MOOSEHORN BROOK,2016,FISH,27.69230769,FishPer100M
15882,Mill Brook,2016,FISH,10,FishPer100M
16843,MILL BROOK,2015,FISH,33.60655738,FishPer100M
15509,Gunn Brook,1992,FISH,53,FishPer100M
15509,Gunn Brook,2004,FISH,88,FishPer100M
15509,Gunn Brook,2012,FISH,17,FishPer100M
15100,Spruce Swamp Creek,2007,FISH,16.04095563,FishPer100M
15100,Spruce Swamp Creek,2011,FISH,25,FishPer100M
16821,MACEDONIA BROOK,1992,FISH,10,FishPer100M
16681,FULLING MILL BROOK,1991,FISH,13.33333333,FishPer100M
15576,Lee Brook,2006,FISH,11.60714286,FishPer100M
14227,Hemp Swamp Brook,1991,FISH,72,FishPer100M
16671,FOURMILE BROOK,1991,FISH,26,FishPer100M
16526,BOYS HALFWAY RIVER,1991,FISH,164,FishPer100M
14439,Salmon Creek (Salmon Kill),2011,FISH,12.31884058,FishPer100M
17162,"WEST ASPETUCK RIVER, tributary to",1992,FISH,190,FishPer100M
15579,Hitchcock Mill Brook,1991,FISH,50,FishPer100M
16863,MOOSEHORN BROOK,1991,FISH,201,FishPer100M
16863,MOOSEHORN BROOK,2017,FISH,18.0952381,FishPer100M
16863,MOOSEHORN BROOK,2018,TEMP,17.52646558,DegreeC
16863,MOOSEHORN BROOK,2017,TEMP,16.47784149,DegreeC
16610,DENMAN BROOK,1992,FISH,28,FishPer100M
17165,VALLEY BROOK,1992,FISH,112,FishPer100M
17152,"LEADMINE BROOK, tributary to",1992,FISH,25,FishPer100M
17155,"NAUGATUCK RIVER, tributary to",2007,FISH,10,FishPer100M
17155,"NAUGATUCK RIVER, tributary to",1992,FISH,116.6666667,FishPer100M
17133,"TRANSYLVANIA BROOK, tributary to",2016,FISH,30,FishPer100M
17133,"TRANSYLVANIA BROOK, tributary to",1991,FISH,60,FishPer100M
15730,East Swamp Brook,1991,FISH,14,FishPer100M
17068,STEWART HOLLOW BROOK,1992,FISH,40,FishPer100M
16965,PICKETT BROOK,1992,FISH,106,FishPer100M
17193,WIGWAM BROOK,1991,FISH,15.33333333,FishPer100M
15519,Bee Brook,2004,FISH,61.33333333,FishPer100M
15519,Bee Brook,1992,FISH,26.66666667,FishPer100M
16599,CROSS BROOK,1991,FISH,10,FishPer100M
17125,TRANSYLVANIA BROOK,1991,FISH,59.33333333,FishPer100M
14849,Limekiln Brook,2002,FISH,37.33333333,FishPer100M
15977,Indian Hole Brook,1991,FISH,44,FishPer100M
17135,"WALKER BROOK, tributary to",1991,FISH,34,FishPer100M
17167,Wachocastinook Creek,2016,FISH,24.66666667,FishPer100M
17167,Wachocastinook Creek,1992,FISH,16.66666667,FishPer100M
17167,Wachocastinook Creek,2012,FISH,17.33333333,FishPer100M
17145,"EAST BR. NAUGATUCK RIVER, tributary to",1992,FISH,122,FishPer100M
17183,WEST BRANCH LEADMINE BROOK,1992,FISH,20,FishPer100M
17205,WOMENSHENUCK BROOK,1992,FISH,12.66666667,FishPer100M
16838,MERRYALL BROOK,1992,FISH,30,FishPer100M
15009,Weekeepeemee River,2011,FISH,22.10526316,FishPer100M
16884,Naromiyocknowhusunkatankshunk Brook (FKA Morrisey),1992,FISH,20,FishPer100M
16330,Naromiyocknowhusunkatankshunk Brook (FKA Morrisey),2009,FISH,26.66666667,FishPer100M
16330,Naromiyocknowhusunkatankshunk Brook (FKA Morrisey),2010,FISH,26.66666667,FishPer100M
17131,"LAKE LILLINONAH, tributary to",1991,FISH,130,FishPer100M
17122,TOWANTIC BROOK,1991,FISH,77,FishPer100M
16542,BURTON BROOK,1992,FISH,129,FishPer100M
16126,Hall Meadow Brook,2013,TEMP,17.88315444,DegreeC
16126,Hall Meadow Brook,2015,FISH,45,FishPer100M
16126,Hall Meadow Brook,2010,FISH,20.66666667,FishPer100M
16126,Hall Meadow Brook,2014,TEMP,17.67548098,DegreeC
16525,BONNEY BROOK,1992,FISH,43,FishPer100M
14209,Fulling Mill Brook,2016,TEMP,17.43282971,DegreeC
14209,Fulling Mill Brook,2015,TEMP,17.02417358,DegreeC
14209,Fulling Mill Brook,2006,FISH,12,FishPer100M
14209,Fulling Mill Brook,2014,TEMP,16.64809957,DegreeC
14523,Burton Brook,2017,TEMP,14.30843886,DegreeC
14523,Burton Brook,2016,TEMP,14.91029092,DegreeC
14523,Burton Brook,2018,TEMP,15.6359538,DegreeC
14523,Burton Brook,2015,FISH,22,FishPer100M
16710,GUINEA BROOK,1992,FISH,12.4137931,FishPer100M
16714,GULF STREAM,1992,FISH,16.98113208,FishPer100M
16714,GULF STREAM,2016,FISH,10,FishPer100M
16125,Whiting Brook,2007,FISH,38.61386139,FishPer100M
16125,Whiting Brook,2015,FISH,66,FishPer100M
17157,"ROCK BROOK, tributary to",1992,FISH,50,FishPer100M
16923,NORTH KENT BROOK,1992,FISH,37,FishPer100M
15529,Macedonia Brook,1992,FISH,44.66666667,FishPer100M
17160,"SHEPAUG RIVER, Unnamed Tributary to",1992,FISH,150,FishPer100M
17130,"EAST SPRING BROOK, tributary to",1991,FISH,42,FishPer100M
14971,Mad River,1991,FISH,110,FishPer100M
17127,"BULLYMUCK BROOK, tributary to",1991,FISH,24,FishPer100M
14453,Spruce Brook,1991,FISH,41,FishPer100M
15763,Deep Brook,1991,FISH,10,FishPer100M
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2016,TEMP,16.6786024,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2017,FISH,32.66666667,FishPer100M
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2018,TEMP,17.35682971,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2014,TEMP,15.69515217,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2011,TEMP,16.6002106,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2012,TEMP,17.09232971,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2010,TEMP,17.21131341,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2009,TEMP,15.79039402,DegreeC
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",2015,TEMP,15.5962192,DegreeC
16770,HURDS BROOK,1991,FISH,13,FishPer100M
16747,HOLLENBECK RIVER,1992,FISH,48,FishPer100M
17141,"COBBLE BROOK, tributary to",1992,FISH,33,FishPer100M
16696,GOODHILL BROOK (Good Hill Brook),1991,FISH,101,FishPer100M
16696,GOODHILL BROOK (Good Hill Brook),2015,FISH,15,FishPer100M
14500,Worden Brook,1991,FISH,116,FishPer100M
17147,"EAST BR. SHEPAUG RIVER, tributary to",2015,FISH,92.1875,FishPer100M
17147,"EAST BR. SHEPAUG RIVER, tributary to",1992,FISH,88,FishPer100M
17153,"MACEDONIA BROOK, tributary to",1992,FISH,40,FishPer100M
17063,SPRUCE BROOK,1992,FISH,58,FishPer100M
15244,Cobble Brook,2011,TEMP,15.93821537,DegreeC
15244,Cobble Brook,1992,FISH,157,FishPer100M
17154,"Naromiyocknowhusunkatankshunk Brook, tributary to",1992,FISH,94,FishPer100M
17314,Fivemile Brook,2009,FISH,35,FishPer100M
16916,"NONEWAUG RIVER, tributary to",1991,FISH,10,FishPer100M
15508,Bradford Brook,2004,FISH,121.25,FishPer100M
16527,BRADFORD BROOK,1992,FISH,58.0952381,FishPer100M
16527,BRADFORD BROOK,2011,FISH,17.85714286,FishPer100M
16929,OCAIN BROOK,1992,FISH,76,FishPer100M
16498,BEEBE BROOK,1992,FISH,12,FishPer100M
16004,Nickelmine Brook,2006,FISH,10,FishPer100M
16857,MOHAWK POND OUTFLOW,1992,FISH,19,FishPer100M
16328,Stony Brook,1992,FISH,56.19047619,FishPer100M
16328,Stony Brook,2008,FISH,12.14953271,FishPer100M
17150,"KENT FALLS BROOK, tributary to",1992,FISH,76,FishPer100M
17333,Wood Creek,2016,FISH,25.23364486,FishPer100M
15532,Jericho Brook,2004,FISH,85.71428571,FishPer100M
15532,Jericho Brook,2006,FISH,29.42857143,FishPer100M
17748,Jericho Brook,2015,FISH,39.18918919,FishPer100M
17136,"WALKER BROOK, tributary to",1991,FISH,26,FishPer100M
16804,LEWIS ATWOOD BROOK,1991,FISH,34,FishPer100M
15998,"Town Farm Brook (""Clatter Valley Brook"")",2006,FISH,26.96629213,FishPer100M
15998,"Town Farm Brook (""Clatter Valley Brook"")",1991,FISH,53.33333333,FishPer100M
16981,POOTATUCK RIVER,1991,FISH,30.92105263,FishPer100M
15575,Little Pootatuck Brook,1991,FISH,28,FishPer100M
16035,Nickelmine Brook,1992,FISH,33,FishPer100M
17059,SPAULDING BROOK,1992,FISH,11,FishPer100M
17207,WOOD CREEK,1991,FISH,220,FishPer100M
17119,TODD HOLLOW BROOK,1991,FISH,29.6,FishPer100M
14355,Nonewaug River,2014,TEMP,18.26870063,DegreeC
17037,SHATTUCK BROOK,1991,FISH,22,FishPer100M
17057,SOUTH BRANCH BULLET HILL BROOK,1991,FISH,170,FishPer100M
14652,Hockanum Brook,1995,FISH,49.33333333,FishPer100M
16741,HOCKANUM BROOK,1991,FISH,42,FishPer100M
14779,Limekiln Brook,1991,FISH,17.33333333,FishPer100M
16422,Halfway River,2014,TEMP,18.25659239,DegreeC
16422,Halfway River,2009,TEMP,17.89710598,DegreeC
16305,"Beaver Brook, tributary to",2008,FISH,25.33333333,FishPer100M
16509,"BIGELOW POND,Tributary to",1994,FISH,28,FishPer100M
16639,ELDRIDGE BROOK,1994,FISH,134,FishPer100M
16878,MUDDY BROOK,1994,FISH,17.6,FishPer100M
14718,Mount Misery Brook,1993,FISH,10.76923077,FishPer100M
16532,BROWNS BROOK,1994,FISH,36,FishPer100M
16532,BROWNS BROOK,2011,FISH,28,FishPer100M
17849,KELLY BROOK,2008,FISH,18,FishPer100M
17850,Kelly Brook,2014,FISH,29.05982906,FishPer100M
16829,MASHENTUCK BROOK,1994,FISH,549,FishPer100M
15035,Spruce Brook,2003,FISH,30,FishPer100M
15035,Spruce Brook,2016,FISH,21.77419355,FishPer100M
15035,Spruce Brook,1992,FISH,34.66666667,FishPer100M
15062,Jefferson Hill Brook,1992,FISH,36,FishPer100M
15062,Jefferson Hill Brook,2003,FISH,20,FishPer100M
17113,THAYER BROOK,1992,FISH,26.31578947,FishPer100M
17120,TODD HOLLOW BROOK,1991,FISH,22,FishPer100M
16817,LONG SWAMP BROOK,1991,FISH,18,FishPer100M
16333,Bullet Hill Brook,2015,TEMP,17.44686549,DegreeC
16333,Bullet Hill Brook,2014,TEMP,16.73114266,DegreeC
16333,Bullet Hill Brook,2013,TEMP,17.51849222,DegreeC
16333,Bullet Hill Brook,2012,TEMP,18.1016567,DegreeC
16333,Bullet Hill Brook,2018,TEMP,18.24469112,DegreeC
16750,HOPP BROOK,1991,FISH,148.5714286,FishPer100M
16253,Deep Brook,2009,TEMP,18.23599638,DegreeC
15017,Fivemile Brook,1991,FISH,15,FishPer100M
15017,Fivemile Brook,2003,FISH,73.79310345,FishPer100M
15017,Fivemile Brook,2006,FISH,12.5,FishPer100M
16921,NORTH BRANCH POOTATUCK BROOK,1991,FISH,22,FishPer100M
16191,Hall Meadow Brook,2010,TEMP,17.74597455,DegreeC
16191,Hall Meadow Brook,2013,TEMP,17.68604167,DegreeC
16191,Hall Meadow Brook,2015,TEMP,17.00470686,DegreeC
16191,Hall Meadow Brook,2010,FISH,56,FishPer100M
16191,Hall Meadow Brook,2011,FISH,35.86206897,FishPer100M
16191,Hall Meadow Brook,2015,FISH,50,FishPer100M
16191,Hall Meadow Brook,2014,TEMP,17.03888419,DegreeC
16191,Hall Meadow Brook,2007,FISH,34.18803419,FishPer100M
16615,DRAKE POND BROOK,1992,FISH,80,FishPer100M
17163,"WEST ASPETUCK RIVER, tributary to",1992,FISH,18,FishPer100M
16708,GREENWOOD BROOK,1991,FISH,77,FishPer100M
14212,Fulling Mill Brook,2016,FISH,17.1875,FishPer100M
14129,Beacon Hill Brook,2016,TEMP,18.13786005,DegreeC
14129,Beacon Hill Brook,2006,TEMP,17.98234522,DegreeC
14129,Beacon Hill Brook,2017,TEMP,17.40155435,DegreeC
15577,Kettletown Brook,1991,FISH,32,FishPer100M
16423,Country Club Brook,2008,TEMP,17.67843886,DegreeC
16423,Country Club Brook,2009,TEMP,16.94322736,DegreeC
16933,OWENS BROOK,1988,FISH,92,FishPer100M
16933,OWENS BROOK,2015,FISH,100,FishPer100M
16078,South Mountain Brook,2011,FISH,24,FishPer100M
16078,South Mountain Brook,2007,FISH,14.16666667,FishPer100M
14842,Indian Meadow Brook,2015,FISH,30,FishPer100M
14842,Indian Meadow Brook,2002,FISH,103.2258065,FishPer100M
14842,Indian Meadow Brook,2014,TEMP,16.85855118,DegreeC
14842,Indian Meadow Brook,2011,TEMP,17.80771552,DegreeC
14842,Indian Meadow Brook,2013,TEMP,17.56855525,DegreeC
14842,Indian Meadow Brook,2008,FISH,10,FishPer100M
16317,Coppermine Brook,2008,FISH,95.8677686,FishPer100M
16589,COPPERMINE BROOK,1988,FISH,11,FishPer100M
16370,Bunnell Brook,2014,TEMP,17.93911322,DegreeC
16370,Bunnell Brook,2017,TEMP,18.06187772,DegreeC
16370,Bunnell Brook,2013,TEMP,18.11836911,DegreeC
16159,East Branch Salmon Brook,2008,FISH,162.1052632,FishPer100M
16159,East Branch Salmon Brook,2007,FISH,127.2727273,FishPer100M
15512,Mountain Brook,2004,FISH,136.25,FishPer100M
15512,Mountain Brook,2012,FISH,66.4,FishPer100M
15512,Mountain Brook,2015,FISH,62,FishPer100M
16107,Lead Mine Brook,1994,FISH,11,FishPer100M
16830,MASON BROOK,1994,FISH,20,FishPer100M
16739,HILL BROOK,1992,FISH,118.1818182,FishPer100M
17321,East Spring Brook,2014,TEMP,18.2839615,DegreeC
16536,BULLYMUCK BROOK,1991,FISH,16.66666667,FishPer100M
16431,Sprain Brook,2016,FISH,263.2075472,FishPer100M
16431,Sprain Brook,2014,TEMP,17.9138673,DegreeC
16431,Sprain Brook,2017,TEMP,18.04254574,DegreeC
16656,FENN BROOK,1991,FISH,10,FishPer100M
17035,SECOND HILL BROOK,1991,FISH,62,FishPer100M
17035,SECOND HILL BROOK,2016,FISH,24,FishPer100M
17134,"TRANSYLVANIA BROOK, tributary to",1991,FISH,192,FishPer100M
17186,WEWAKA BROOK,2010,FISH,11.33333333,FishPer100M
16124,Flat Brook,2011,FISH,10.37037037,FishPer100M
16124,Flat Brook,2016,FISH,12,FishPer100M
16124,Flat Brook,2007,FISH,20,FishPer100M
16124,Flat Brook,1992,FISH,47,FishPer100M
16124,Flat Brook,2017,TEMP,17.75801313,DegreeC
16124,Flat Brook,2016,TEMP,17.78370205,DegreeC
16124,Flat Brook,2015,TEMP,17.83218443,DegreeC
16124,Flat Brook,2014,TEMP,18.28030888,DegreeC
17144,"EAST BR. NAUGATUCK RIVER, tributary to",1992,FISH,17,FishPer100M
16630,EAST BRANCH SHEPAUG RIVER,1992,FISH,44,FishPer100M
16623,EAST BRANCH LEADMINE BROOK,1992,FISH,62,FishPer100M
16623,EAST BRANCH LEADMINE BROOK,2013,FISH,27.27272727,FishPer100M
15063,Spruce Brook,2010,FISH,13.15789474,FishPer100M
15063,Spruce Brook,2003,FISH,36,FishPer100M
17070,STILL BROOK,1992,FISH,130,FishPer100M
16693,GLEN BROOK,2015,FISH,23.30097087,FishPer100M
17129,"DEEP BROOK, tributary to",1991,FISH,24,FishPer100M
17129,"DEEP BROOK, tributary to",2012,FISH,31.57894737,FishPer100M
17148,"HALL MEADOW BROOK, tributary to",1992,FISH,312,FishPer100M
17148,"HALL MEADOW BROOK, tributary to",2011,FISH,73.01587302,FishPer100M
17148,"HALL MEADOW BROOK, tributary to",2014,FISH,169.1358025,FishPer100M
16554,"CANDLEWOOD LAKE,Tributary to",1991,FISH,62,FishPer100M
16732,HEFFERS BROOK,1992,FISH,163.6363636,FishPer100M
16127,Jakes Brook,2007,FISH,26,FishPer100M
16127,Jakes Brook,2018,FISH,30,FishPer100M
16127,Jakes Brook,2016,FISH,30,FishPer100M
16127,Jakes Brook,2011,FISH,16.34615385,FishPer100M
16127,Jakes Brook,2018,TEMP,17.60248868,DegreeC
16127,Jakes Brook,2013,FISH,74.25742574,FishPer100M
16127,Jakes Brook,2014,TEMP,16.85325462,DegreeC
16127,Jakes Brook,2016,TEMP,15.08280245,DegreeC
16127,Jakes Brook,2011,TEMP,17.50596378,DegreeC
16127,Jakes Brook,2015,TEMP,17.03379212,DegreeC
16127,Jakes Brook,2013,TEMP,17.69583696,DegreeC
16127,Jakes Brook,2017,TEMP,16.33012772,DegreeC
16781,JAKES BROOK,1992,FISH,62.66666667,FishPer100M
17151,"LAKE WARAMAUG BROOK, tributary to",1992,FISH,57.14285714,FishPer100M
16825,MALLORY BROOK,1991,FISH,20.56074766,FishPer100M
15128,Kirby Brook,1991,FISH,11,FishPer100M
14846,Sawmill Brook,2002,FISH,80,FishPer100M
16926,Norwichtown Brook,1993,FISH,20,FishPer100M
16926,Norwichtown Brook,2007,FISH,16,FishPer100M
16930,Oil Mill Brook,1993,FISH,20,FishPer100M
16594,Cranberry Meadow Brook,1993,FISH,190,FishPer100M
16594,Cranberry Meadow Brook,2010,FISH,71.27659574,FishPer100M
16594,Cranberry Meadow Brook,2012,FISH,44,FishPer100M
16594,Cranberry Meadow Brook,2013,FISH,25,FishPer100M
16717,Haleys Brook,1993,FISH,87.33333333,FishPer100M
17318,Jordan Brook,2010,FISH,56,FishPer100M
16946,Pease Brook,1993,FISH,54.66666667,FishPer100M
16276,Latimer Brook,1993,FISH,60.95238095,FishPer100M
16298,Stony Brook,1993,FISH,18,FishPer100M
16472,Anguilla Brook,1993,FISH,20,FishPer100M
17267,Stony Brook,2010,FISH,36,FishPer100M
17267,Stony Brook,2012,FISH,26,FishPer100M
17267,Stony Brook,2009,FISH,10,FishPer100M
17531,Stony Brook,2010,FISH,11.11111111,FishPer100M
16702,Great Brook,1993,FISH,33.33333333,FishPer100M
16661,Fishtown Brook,1993,FISH,16,FishPer100M
14263,Kahn Brook,2014,FISH,11.45038168,FishPer100M
14263,Kahn Brook,2012,FISH,33.84615385,FishPer100M
14263,Kahn Brook,2007,FISH,22,FishPer100M
14263,Kahn Brook,2014,TEMP,16.75130933,DegreeC
16606,Deep River,1993,FISH,11.81818182,FishPer100M
16645,Falls Brook,2013,FISH,10,FishPer100M
16645,Falls Brook,1993,FISH,52,FishPer100M
14860,Flat Brook,2002,FISH,85.59322034,FishPer100M
14860,Flat Brook,1993,FISH,46.66666667,FishPer100M
16613,Donahue Brook,1993,FISH,12,FishPer100M
16787,"Jordan Brook,Tributary to",1993,FISH,100,FishPer100M
15543,Pease Brook,1993,FISH,21.33333333,FishPer100M
15543,Pease Brook,2009,FISH,11.42857143,FishPer100M
15543,Pease Brook,2014,FISH,35.71428571,FishPer100M
17123,Trading Cove Brook,1993,FISH,10,FishPer100M
17187,Wheeler Brook,1993,FISH,76,FishPer100M
17187,Wheeler Brook,2017,FISH,12.66666667,FishPer100M
16072,Trading Cove Brook,2007,FISH,25,FishPer100M
16759,Hoxie Brook,1993,FISH,20,FishPer100M
17796,CROWLEY Brook,2007,FISH,10,FishPer100M
17796,CROWLEY Brook,2014,FISH,231.4814815,FishPer100M
16607,Deep River,1993,FISH,58,FishPer100M
15252,Joe Clark Brook,1993,FISH,302,FishPer100M
16931,Oil Mill Brook,1993,FISH,12.79069767,FishPer100M
17013,Rose Brook,1993,FISH,88,FishPer100M
17084,Stony Brook,1993,FISH,110,FishPer100M
14774,Bride Brook,2001,FISH,84,FishPer100M
14774,Bride Brook,2010,FISH,128,FishPer100M
14774,Bride Brook,2012,FISH,188,FishPer100M
17532,Bride Brook,2012,FISH,212,FishPer100M
15754,Copps Brook,1993,FISH,330.4347826,FishPer100M
15015,Seth Williams Brook,1993,FISH,20,FishPer100M
17201,Willys Meadow Brook,1993,FISH,17,FishPer100M
16668,Ford Brook,1993,FISH,18,FishPer100M
16299,Hunts brook,2010,FISH,10.37735849,FishPer100M
17000,Red Brook,1993,FISH,148,FishPer100M
15236,Eccelston Brook,1993,FISH,65.625,FishPer100M
14731,Trading Cove Brook,2014,FISH,19.35483871,FishPer100M
16297,Stony Brook,1993,FISH,60.74766355,FishPer100M
16297,Stony Brook,2009,FISH,13.33333333,FishPer100M
17085,Stony Brook,1993,FISH,78,FishPer100M
16690,Gillette Brook,1993,FISH,196,FishPer100M
16192,Trading Cove Brook,2012,FISH,18,FishPer100M
16192,Trading Cove Brook,2014,FISH,68.66666667,FishPer100M
16192,Trading Cove Brook,1993,FISH,61.14649682,FishPer100M
16192,Trading Cove Brook,2011,FISH,117.0940171,FishPer100M
16192,Trading Cove Brook,2006,FISH,30,FishPer100M
16786,Jordan Brook,1993,FISH,184.8920863,FishPer100M
16786,Jordan Brook,2013,FISH,15.88785047,FishPer100M
16786,Jordan Brook,2014,FISH,32.98969072,FishPer100M
16786,Jordan Brook,2010,FISH,63.36633663,FishPer100M
16767,Hunts Brook,1993,FISH,24,FishPer100M
16769,"Hunts Brook,Tributary to",1993,FISH,28.30188679,FishPer100M
16969,"Pine Swamp Brook, tributary to",1993,FISH,289.0909091,FishPer100M
17194,"Williams Brook, Tributary to",1993,FISH,20,FishPer100M
17116,Thompson Brook,1993,FISH,294,FishPer100M
16295,Latimer Brook,1993,FISH,12,FishPer100M
15215,Thompson Brook,2009,TEMP,17.63085462,DegreeC
15215,Thompson Brook,2008,FISH,84.51612903,FishPer100M
16539,BUNNELL BROOK,2017,FISH,55,FishPer100M
16539,BUNNELL BROOK,1988,FISH,15,FishPer100M
16387,Hurricane Brook,2014,TEMP,16.16730471,DegreeC
16387,Hurricane Brook,2017,TEMP,15.87722192,DegreeC
16387,Hurricane Brook,2015,TEMP,16.27113444,DegreeC
16387,Hurricane Brook,2012,FISH,30.52631579,FishPer100M
16387,Hurricane Brook,2013,TEMP,16.93274366,DegreeC
16387,Hurricane Brook,2018,TEMP,17.09208469,DegreeC
16387,Hurricane Brook,2014,FISH,15.2866242,FishPer100M
16387,Hurricane Brook,2016,TEMP,16.19261551,DegreeC
15795,FARMINGTON RIVER,2017,TEMP,16.19464194,DegreeC
